STATE,TOTAL VOTES,"(u'DWIGHT D. EISENHOWER', u'Votes')","(u'DWIGHT D. EISENHOWER', u'%')","(u'DWIGHT D. EISENHOWER', u'EV')","(u'ADLAI E. STEVENSON', u'Votes')","(u'ADLAI E. STEVENSON', u'%')","(u'ADLAI E. STEVENSON', u'EV')"
Alabama*,"496,861","195,694",39.4,,"280,844",56.5,10*
Arizona,"290,173","176,990",61.0,4,"112,880",38.9,
Arkansas,"406,572","186,287",45.8,,"213,277",52.5,8
California,"5,466,355","3,027,668",55.4,32,"2,420,135",44.3,
Colorado,"657,074","394,479",60.0,6,"257,997",39.3,
Connecticut,"1,117,121","711,837",63.7,8,"405,079",36.3,
Delaware,"177,988","98,057",55.1,3,"79,421",44.6,
Florida,"1,125,762","643,849",57.2,10,"480,371",42.7,
Georgia,"669,655","222,778",33.3,,"444,688",66.4,12
Idaho,"272,989","166,979",61.2,4,"105,868",38.8,
Illinois,"4,407,407","2,623,327",59.5,27,"1,775,682",40.3,
Indiana,"1,974,607","1,182,811",59.9,13,"783,908",39.7,
Iowa,"1,234,564","729,187",59.1,10,"501,858",40.7,
Kansas,"866,243","566,878",65.4,8,"296,317",34.2,
Kentucky,"1,053,805","572,192",54.3,10,"476,453",45.2,
Louisiana,"617,544","329,047",53.3,10,"243,977",39.5,
Maine,"351,706","249,238",70.9,5,"102,468",29.1,
Maryland,"932,827","559,738",60.0,9,"372,613",39.9,
Massachusetts,"2,348,506","1,393,197",59.3,16,"948,190",40.4,
Michigan,"3,080,468","1,713,647",55.6,20,"1,359,898",44.1,
Minnesota,"1,340,005","719,302",53.7,11,"617,525",46.1,
Mississippi,"248,104","60,685",24.5,,"144,453",58.2,8
Missouri,"1,832,562","914,289",49.9,,"918,273",50.1,13
Montana,"271,171","154,933",57.1,4,"116,238",42.9,
Nebraska,"577,137","378,108",65.5,6,"199,029",34.5,
Nevada,"96,689","56,049",58.0,3,"40,640",42.0,
New Hampshire,"266,994","176,519",66.1,4,"90,364",33.8,
New Jersey,"2,484,312","1,606,942",64.7,16,"850,337",34.2,
New Mexico,"253,926","146,788",57.8,4,"106,098",41.8,
New York,"7,095,971","4,345,506",61.2,45,"2,747,944",38.7,
North Carolina,"1,165,592","575,062",49.3,,"590,530",50.7,14
North Dakota,"253,991","156,766",61.7,4,"96,742",38.1,
Ohio,"3,702,265","2,262,610",61.1,25,"1,439,655",38.9,
Oklahoma,"859,350","473,769",55.1,8,"385,581",44.9,
Oregon,"736,132","406,393",55.2,6,"329,204",44.7,
Pennsylvania,"4,576,503","2,585,252",56.5,32,"1,981,769",43.3,
Rhode Island,"387,609","225,819",58.3,4,"161,790",41.7,
South Carolina,"300,583","75,700",25.2,,"136,372",45.4,8
South Dakota,"293,857","171,569",58.4,4,"122,288",41.6,
Tennessee,"939,404","462,288",49.2,11,"456,507",48.6,
Texas,"1,955,168","1,080,619",55.3,24,"859,958",44.0,
Utah,"333,995","215,631",64.6,4,"118,364",35.4,
Vermont,"152,978","110,390",72.2,3,"42,549",27.8,
Virginia,"697,978","386,459",55.4,12,"267,760",38.4,
Washington,"1,150,889","620,430",53.9,9,"523,002",45.4,
West Virginia,"830,831","449,297",54.1,8,"381,534",45.9,
Wisconsin,"1,550,558","954,844",61.6,12,"586,768",37.8,
Wyoming,"124,127","74,573",60.1,3,"49,554",39.9,
Totals,"62,026,908","35,590,472",57.4,457,"26,022,752",42.0,73
